#JIS UCS
2121 3000
2122 3001
2123 3002
2124 FF0C
2125 FF0E
2126 30FB
2127 FF1A
2128 FF1B
2129 FF1F
212A FF01
212B 309B
212C 309C
212D 00B4
212E FF40
212F 00A8
2130 FF3E
2131 203E
2132 FF3F
2133 30FD
2134 30FE
2135 309D
2136 309E
2137 3003
2138 4EDD
2139 3005
213A 3006
213B 3007
213C 30FC
213D 2014
213E 2010
213F FF0F
2140 FF3C
2141 301C
2142 2016
2143 FF5C
2144 2026
2145 2025
2146 2018
2147 2019
2148 201C
2149 201D
214A FF08
214B FF09
214C 3014
214D 3015
214E FF3B
214F FF3D
2150 FF5B
2151 FF5D
2152 3008
2153 3009
2154 300A
2155 300B
2156 300C
2157 300D
2158 300E
2159 300F
215A 3010
215B 3011
215C FF0B
215D 2212
215E 00B1
215F 00D7
2160 00F7
2161 FF1D
2162 2260
2163 FF1C
2164 FF1E
2165 2266
2166 2267
2167 221E
2168 2234
2169 2642
216A 2640
216B 00B0
216C 2032
216D 2033
216E 2103
216F 00A5
2170 FF04
2171 00A2
2172 00A3
2173 FF05
2174 FF03
2175 FF06
2176 FF0A
2177 FF20
2178 00A7
2179 2606
217A 2605
217B 25CB
217C 25CF
217D 25CE
217E 25C7
2221 25C6
2222 25A1
2223 25A0
2224 25B3
2225 25B2
2226 25BD
2227 25BC
2228 203B
2229 3012
222A 2192
222B 2190
222C 2191
222D 2193
222E 3013
222F 0027
2230 0022
2231 002D
2232 007E
2233 3033
2234 3034
2235 3035
2236 303B
2237 303C
2238 30FF
2239 309F
223A 2208
223B 220B
223C 2286
223D 2287
223E 2282
223F 2283
2240 222A
2241 2229
2242 2284
2243 2285
2244 228A
2245 228B
2246 2209
2247 2205
2248 2305
2249 2306
224A 2227
224B 2228
224C 00AC
224D 21D2
224E 21D4
224F 2200
2250 2203
2251 2295
2252 2296
2253 2297
2254 2225
2255 2226
2256 FF5F
2257 FF60
2258 3018
2259 3019
225A 3016
225B 3017
225C 2220
225D 22A5
225E 2312
225F 2202
2260 2207
2261 2261
2262 2252
2263 226A
2264 226B
2265 221A
2266 223D
2267 221D
2268 2235
2269 222B
226A 222C
226B 2262
226C 2243
226D 2245
226E 2248
226F 2276
2270 2277
2271 2194
2272 212B
2273 2030
2274 266F
2275 266D
2276 266A
2277 2020
2278 2021
2279 00B6
227A 266E
227B 266B
227C 266C
227D 2669
227E 25EF
2321 25B7
2322 25B6
2323 25C1
2324 25C0
2325 2197
2326 2198
2327 2196
2328 2199
2329 21C4
232A 21E8
232B 21E6
232C 21E7
232D 21E9
232E 2934
232F 2935
2330 FF10
2331 FF11
2332 FF12
2333 FF13
2334 FF14
2335 FF15
2336 FF16
2337 FF17
2338 FF18
2339 FF19
233A 29BF
233B 25C9
233C 303D
233D FE46
233E FE45
233F 25E6
2340 2022
2341 FF21
2342 FF22
2343 FF23
2344 FF24
2345 FF25
2346 FF26
2347 FF27
2348 FF28
2349 FF29
234A FF2A
234B FF2B
234C FF2C
234D FF2D
234E FF2E
234F FF2F
2350 FF30
2351 FF31
2352 FF32
2353 FF33
2354 FF34
2355 FF35
2356 FF36
2357 FF37
2358 FF38
2359 FF39
235A FF3A
235B 2213
235C 2135
235D 210F
235E 33CB
235F 2113
2360 2127
2361 FF41
2362 FF42
2363 FF43
2364 FF44
2365 FF45
2366 FF46
2367 FF47
2368 FF48
2369 FF49
236A FF4A
236B FF4B
236C FF4C
236D FF4D
236E FF4E
236F FF4F
2370 FF50
2371 FF51
2372 FF52
2373 FF53
2374 FF54
2375 FF55
2376 FF56
2377 FF57
2378 FF58
2379 FF59
237A FF5A
237B 30A0
237C 2013
237D 29FA
237E 29FB
2421 3041
2422 3042
2423 3043
2424 3044
2425 3045
2426 3046
2427 3047
2428 3048
2429 3049
242A 304A
242B 304B
242C 304C
242D 304D
242E 304E
242F 304F
2430 3050
2431 3051
2432 3052
2433 3053
2434 3054
2435 3055
2436 3056
2437 3057
2438 3058
2439 3059
243A 305A
243B 305B
243C 305C
243D 305D
243E 305E
243F 305F
2440 3060
2441 3061
2442 3062
2443 3063
2444 3064
2445 3065
2446 3066
2447 3067
2448 3068
2449 3069
244A 306A
244B 306B
244C 306C
244D 306D
244E 306E
244F 306F
2450 3070
2451 3071
2452 3072
2453 3073
2454 3074
2455 3075
2456 3076
2457 3077
2458 3078
2459 3079
245A 307A
245B 307B
245C 307C
245D 307D
245E 307E
245F 307F
2460 3080
2461 3081
2462 3082
2463 3083
2464 3084
2465 3085
2466 3086
2467 3087
2468 3088
2469 3089
246A 308A
246B 308B
246C 308C
246D 308D
246E 308E
246F 308F
2470 3090
2471 3091
2472 3092
2473 3093
2474 3094
2475 3095
2476 3096
2521 30A1
2522 30A2
2523 30A3
2524 30A4
2525 30A5
2526 30A6
2527 30A7
2528 30A8
2529 30A9
252A 30AA
252B 30AB
252C 30AC
252D 30AD
252E 30AE
252F 30AF
2530 30B0
2531 30B1
2532 30B2
2533 30B3
2534 30B4
2535 30B5
2536 30B6
2537 30B7
2538 30B8
2539 30B9
253A 30BA
253B 30BB
253C 30BC
253D 30BD
253E 30BE
253F 30BF
2540 30C0
2541 30C1
2542 30C2
2543 30C3
2544 30C4
2545 30C5
2546 30C6
2547 30C7
2548 30C8
2549 30C9
254A 30CA
254B 30CB
254C 30CC
254D 30CD
254E 30CE
254F 30CF
2550 30D0
2551 30D1
2552 30D2
2553 30D3
2554 30D4
2555 30D5
2556 30D6
2557 30D7
2558 30D8
2559 30D9
255A 30DA
255B 30DB
255C 30DC
255D 30DD
255E 30DE
255F 30DF
2560 30E0
2561 30E1
2562 30E2
2563 30E3
2564 30E4
2565 30E5
2566 30E6
2567 30E7
2568 30E8
2569 30E9
256A 30EA
256B 30EB
256C 30EC
256D 30ED
256E 30EE
256F 30EF
2570 30F0
2571 30F1
2572 30F2
2573 30F3
2574 30F4
