亜 3021 B0A1 U+4E9C
唖 3022 B0A2 U+5516
娃 3023 B0A3 U+5A03
阿 3024 B0A4 U+963F
哀 3025 B0A5 U+54C0
愛 3026 B0A6 U+611B
挨 3027 B0A7 U+6328
姶 3028 B0A8 U+59F6
逢 3029 B0A9 U+9022
葵 302A B0AA U+8475
茜 302B B0AB U+831C
穐 302C B0AC U+7A50
悪 302D B0AD U+60AA
握 302E B0AE U+63E1
渥 302F B0AF U+6E25
旭 3030 B0B0 U+65ED
葦 3031 B0B1 U+8466
芦 3032 B0B2 U+82A6
鯵 3033 B0B3 U+9BF5
梓 3034 B0B4 U+6893
圧 3035 B0B5 U+5727
斡 3036 B0B6 U+65A1
扱 3037 B0B7 U+6271
宛 3038 B0B8 U+5B9B
姐 3039 B0B9 U+59D0
虻 303A B0BA U+867B
飴 303B B0BB U+98F4
絢 303C B0BC U+7D62
綾 303D B0BD U+7DBE
鮎 303E B0BE U+9B8E
或 303F B0BF U+6216
粟 3040 B0C0 U+7C9F
袷 3041 B0C1 U+88B7
安 3042 B0C2 U+5B89
庵 3043 B0C3 U+5EB5
按 3044 B0C4 U+6309
暗 3045 B0C5 U+6697
案 3046 B0C6 U+6848
闇 3047 B0C7 U+95C7
鞍 3048 B0C8 U+978D
杏 3049 B0C9 U+674F
以 304A B0CA U+4EE5
伊 304B B0CB U+4F0A
位 304C B0CC U+4F4D
依 304D B0CD U+4F9D
偉 304E B0CE U+5049
囲 304F B0CF U+56F2
夷 3050 B0D0 U+5937
委 3051 B0D1 U+59D4
威 3052 B0D2 U+5A01
尉 3053 B0D3 U+5C09
惟 3054 B0D4 U+60DF
意 3055 B0D5 U+610F
慰 3056 B0D6 U+6170
易 3057 B0D7 U+6613
椅 3058 B0D8 U+6905
為 3059 B0D9 U+70BA
畏 305A B0DA U+754F
異 305B B0DB U+7570
移 305C B0DC U+79FB
維 305D B0DD U+7DAD
緯 305E B0DE U+7DEF
胃 305F B0DF U+80C3
萎 3060 B0E0 U+840E
衣 3061 B0E1 U+8863
謂 3062 B0E2 U+8B02
違 3063 B0E3 U+9055
遺 3064 B0E4 U+907A
医 3065 B0E5 U+533B
井 3066 B0E6 U+4E95
亥 3067 B0E7 U+4EA5
域 3068 B0E8 U+57DF
育 3069 B0E9 U+80B2
郁 306A B0EA U+90C1
磯 306B B0EB U+78EF
一 306C B0EC U+4E00
壱 306D B0ED U+58F1
溢 306E B0EE U+6EA2
逸 306F B0EF U+9038
稲 3070 B0F0 U+7A32
茨 3071 B0F1 U+8328
芋 3072 B0F2 U+828B
鰯 3073 B0F3 U+9C2F
允 3074 B0F4 U+5141
印 3075 B0F5 U+5370
咽 3076 B0F6 U+54BD
員 3077 B0F7 U+54E1
因 3078 B0F8 U+56E0
姻 3079 B0F9 U+59FB
引 307A B0FA U+5F15
飲 307B B0FB U+98F2
淫 307C B0FC U+6DEB
胤 307D B0FD U+80E4
蔭 307E B0FE U+852D
院 3121 B1A1 U+9662
陰 3122 B1A2 U+9670
隠 3123 B1A3 U+96A0
韻 3124 B1A4 U+97FB
吋 3125 B1A5 U+540B
右 3126 B1A6 U+53F3
宇 3127 B1A7 U+5B87
烏 3128 B1A8 U+70CF
羽 3129 B1A9 U+7FBD
迂 312A B1AA U+8FC2
雨 312B B1AB U+96E8
卯 312C B1AC U+536F
鵜 312D B1AD U+9D5C
窺 312E B1AE U+7ABA
丑 312F B1AF U+4E11
碓 3130 B1B0 U+7893
臼 3131 B1B1 U+81FC
渦 3132 B1B2 U+6E26
嘘 3133 B1B3 U+5618
唄 3134 B1B4 U+5504
欝 3135 B1B5 U+6B1D
蔚 3136 B1B6 U+851A
鰻 3137 B1B7 U+9C3B
姥 3138 B1B8 U+59E5
厩 3139 B1B9 U+53A9
浦 313A B1BA U+6D66
瓜 313B B1BB U+74DC
閏 313C B1BC U+958F
噂 313D B1BD U+5642
云 313E B1BE U+4E91
運 313F B1BF U+904B
雲 3140 B1C0 U+96F2
荏 3141 B1C1 U+834F
餌 3142 B1C2 U+990C
叡 3143 B1C3 U+53E1
営 3144 B1C4 U+55B6
嬰 3145 B1C5 U+5B30
影 3146 B1C6 U+5F71
映 3147 B1C7 U+6620
曳 3148 B1C8 U+66F3
栄 3149 B1C9 U+6804
永 314A B1CA U+6C38
泳 314B B1CB U+6CF3
洩 314C B1CC U+6D29
瑛 314D B1CD U+745B
盈 314E B1CE U+76C8
穎 314F B1CF U+7A4E
頴 3150 B1D0 U+9834
英 3151 B1D1 U+82F1
衛 3152 B1D2 U+885B
詠 3153 B1D3 U+8A60
鋭 3154 B1D4 U+92ED
液 3155 B1D5 U+6DB2
疫 3156 B1D6 U+75AB
益 3157 B1D7 U+76CA
駅 3158 B1D8 U+99C5
悦 3159 B1D9 U+60A6
謁 315A B1DA U+8B01
越 315B B1DB U+8D8A
閲 315C B1DC U+95B2
榎 315D B1DD U+698E
厭 315E B1DE U+53AD
円 315F B1DF U+5186
園 3160 B1E0 U+5712
堰 3161 B1E1 U+5830
奄 3162 B1E2 U+5944
宴 3163 B1E3 U+5BB4
延 3164 B1E4 U+5EF6
怨 3165 B1E5 U+6028
掩 3166 B1E6 U+63A9
援 3167 B1E7 U+63F4
沿 3168 B1E8 U+6CBF
演 3169 B1E9 U+6F14
炎 316A B1EA U+708E
焔 316B B1EB U+7114
煙 316C B1EC U+7159
燕 316D B1ED U+71D5
猿 316E B1EE U+733F
縁 316F B1EF U+7E01
艶 3170 B1F0 U+8276
苑 3171 B1F1 U+82D1
薗 3172 B1F2 U+8597
遠 3173 B1F3 U+9060
鉛 3174 B1F4 U+925B
鴛 3175 B1F5 U+9D1B
塩 3176 B1F6 U+5869
於 3177 B1F7 U+65BC
汚 3178 B1F8 U+6C5A
甥 3179 B1F9 U+7525
凹 317A B1FA U+51F9
央 317B B1FB U+592E
奥 317C B1FC U+5965
往 317D B1FD U+5F80
応 317E B1FE U+5FDC
押 3221 B2A1 U+62BC
旺 3222 B2A2 U+65FA
横 3223 B2A3 U+6A2A
欧 3224 B2A4 U+6B27
殴 3225 B2A5 U+6BB4
王 3226 B2A6 U+738B
翁 3227 B2A7 U+7FC1
襖 3228 B2A8 U+8956
鴬 3229 B2A9 U+9D2C
鴎 322A B2AA U+9D0E
黄 322B B2AB U+9EC4
岡 322C B2AC U+5CA1
沖 322D B2AD U+6C96
荻 322E B2AE U+837B
億 322F B2AF U+5104
屋 3230 B2B0 U+5C4B
憶 3231 B2B1 U+61B6
臆 3232 B2B2 U+81C6
桶 3233 B2B3 U+6876
牡 3234 B2B4 U+7261
乙 3235 B2B5 U+4E59
俺 3236 B2B6 U+4FFA
卸 3237 B2B7 U+5378
恩 3238 B2B8 U+6069
温 3239 B2B9 U+6E29
