　 2121 A1A1 U+3000
、 2122 A1A2 U+3001
。 2123 A1A3 U+3002
， 2124 A1A4 U+FF0C
． 2125 A1A5 U+FF0E
・ 2126 A1A6 U+30FB
： 2127 A1A7 U+FF1A
； 2128 A1A8 U+FF1B
？ 2129 A1A9 U+FF1F
！ 212A A1AA U+FF01
゛ 212B A1AB U+309B
゜ 212C A1AC U+309C
´ 212D A1AD U+00B4
｀ 212E A1AE U+FF40
¨ 212F A1AF U+00A8
＾ 2130 A1B0 U+FF3E
￣ 2131 A1B1 U+FFE3
＿ 2132 A1B2 U+FF3F
ヽ 2133 A1B3 U+30FD
ヾ 2134 A1B4 U+30FE
ゝ 2135 A1B5 U+309D
ゞ 2136 A1B6 U+309E
〃 2137 A1B7 U+3003
仝 2138 A1B8 U+4EDD
々 2139 A1B9 U+3005
〆 213A A1BA U+3006
〇 213B A1BB U+3007
ー 213C A1BC U+30FC
― 213D A1BD U+2015
‐ 213E A1BE U+2010
／ 213F A1BF U+FF0F
＼ 2140 A1C0 U+005C
～ 2141 A1C1 U+301C
∥ 2142 A1C2 U+2016
｜ 2143 A1C3 U+FF5C
… 2144 A1C4 U+2026
‥ 2145 A1C5 U+2025
‘ 2146 A1C6 U+2018
’ 2147 A1C7 U+2019
“ 2148 A1C8 U+201C
” 2149 A1C9 U+201D
（ 214A A1CA U+FF08
） 214B A1CB U+FF09
〔 214C A1CC U+3014
〕 214D A1CD U+3015
［ 214E A1CE U+FF3B
］ 214F A1CF U+FF3D
｛ 2150 A1D0 U+FF5B
｝ 2151 A1D1 U+FF5D
〈 2152 A1D2 U+3008
〉 2153 A1D3 U+3009
《 2154 A1D4 U+300A
》 2155 A1D5 U+300B
「 2156 A1D6 U+300C
」 2157 A1D7 U+300D
『 2158 A1D8 U+300E
』 2159 A1D9 U+300F
【 215A A1DA U+3010
】 215B A1DB U+3011
＋ 215C A1DC U+FF0B
－ 215D A1DD U+2212
± 215E A1DE U+00B1
× 215F A1DF U+00D7
÷ 2160 A1E0 U+00F7
＝ 2161 A1E1 U+FF1D
≠ 2162 A1E2 U+2260
＜ 2163 A1E3 U+FF1C
＞ 2164 A1E4 U+FF1E
≦ 2165 A1E5 U+2266
≧ 2166 A1E6 U+2267
∞ 2167 A1E7 U+221E
∴ 2168 A1E8 U+2234
♂ 2169 A1E9 U+2642
♀ 216A A1EA U+2640
° 216B A1EB U+00B0
′ 216C A1EC U+2032
″ 216D A1ED U+2033
℃ 216E A1EE U+2103
￥ 216F A1EF U+FFE5
＄ 2170 A1F0 U+FF04
￠ 2171 A1F1 U+00A2
￡ 2172 A1F2 U+00A3
％ 2173 A1F3 U+FF05
＃ 2174 A1F4 U+FF03
＆ 2175 A1F5 U+FF06
＊ 2176 A1F6 U+FF0A
＠ 2177 A1F7 U+FF20
§ 2178 A1F8 U+00A7
☆ 2179 A1F9 U+2606
★ 217A A1FA U+2605
○ 217B A1FB U+25CB
● 217C A1FC U+25CF
◎ 217D A1FD U+25CE
◇ 217E A1FE U+25C7
◆ 2221 A2A1 U+25C6
□ 2222 A2A2 U+25A1
■ 2223 A2A3 U+25A0
△ 2224 A2A4 U+25B3
▲ 2225 A2A5 U+25B2
▽ 2226 A2A6 U+25BD
▼ 2227 A2A7 U+25BC
※ 2228 A2A8 U+203B
〒 2229 A2A9 U+3012
→ 222A A2AA U+2192
← 222B A2AB U+2190
↑ 222C A2AC U+2191
↓ 222D A2AD U+2193
〓 222E A2AE U+3013
∈ 223A A2BA U+2208
∋ 223B A2BB U+220B
⊆ 223C A2BC U+2286
⊇ 223D A2BD U+2287
⊂ 223E A2BE U+2282
⊃ 223F A2BF U+2283
∪ 2240 A2C0 U+222A
∩ 2241 A2C1 U+2229
∧ 224A A2CA U+2227
∨ 224B A2CB U+2228
￢ 224C A2CC U+00AC
⇒ 224D A2CD U+21D2
⇔ 224E A2CE U+21D4
∀ 224F A2CF U+2200
∃ 2250 A2D0 U+2203
∠ 225C A2DC U+2220
⊥ 225D A2DD U+22A5
⌒ 225E A2DE U+2312
∂ 225F A2DF U+2202
∇ 2260 A2E0 U+2207
≡ 2261 A2E1 U+2261
≒ 2262 A2E2 U+2252
≪ 2263 A2E3 U+226A
≫ 2264 A2E4 U+226B
√ 2265 A2E5 U+221A
∽ 2266 A2E6 U+223D
∝ 2267 A2E7 U+221D
∵ 2268 A2E8 U+2235
∫ 2269 A2E9 U+222B
∬ 226A A2EA U+222C
Å 2272 A2F2 U+212B
‰ 2273 A2F3 U+2030
♯ 2274 A2F4 U+266F
♭ 2275 A2F5 U+266D
♪ 2276 A2F6 U+266A
† 2277 A2F7 U+2020
‡ 2278 A2F8 U+2021
¶ 2279 A2F9 U+00B6
◯ 227E A2FE U+25EF
０ 2330 A3B0 U+FF10
１ 2331 A3B1 U+FF11
２ 2332 A3B2 U+FF12
３ 2333 A3B3 U+FF13
４ 2334 A3B4 U+FF14
５ 2335 A3B5 U+FF15
６ 2336 A3B6 U+FF16
７ 2337 A3B7 U+FF17
８ 2338 A3B8 U+FF18
９ 2339 A3B9 U+FF19
Ａ 2341 A3C1 U+FF21
Ｂ 2342 A3C2 U+FF22
Ｃ 2343 A3C3 U+FF23
Ｄ 2344 A3C4 U+FF24
Ｅ 2345 A3C5 U+FF25
Ｆ 2346 A3C6 U+FF26
Ｇ 2347 A3C7 U+FF27
Ｈ 2348 A3C8 U+FF28
Ｉ 2349 A3C9 U+FF29
Ｊ 234A A3CA U+FF2A
Ｋ 234B A3CB U+FF2B
Ｌ 234C A3CC U+FF2C
Ｍ 234D A3CD U+FF2D
Ｎ 234E A3CE U+FF2E
Ｏ 234F A3CF U+FF2F
Ｐ 2350 A3D0 U+FF30
Ｑ 2351 A3D1 U+FF31
Ｒ 2352 A3D2 U+FF32
Ｓ 2353 A3D3 U+FF33
Ｔ 2354 A3D4 U+FF34
Ｕ 2355 A3D5 U+FF35
Ｖ 2356 A3D6 U+FF36
Ｗ 2357 A3D7 U+FF37
Ｘ 2358 A3D8 U+FF38
Ｙ 2359 A3D9 U+FF39
Ｚ 235A A3DA U+FF3A
ａ 2361 A3E1 U+FF41
ｂ 2362 A3E2 U+FF42
ｃ 2363 A3E3 U+FF43
ｄ 2364 A3E4 U+FF44
ｅ 2365 A3E5 U+FF45
ｆ 2366 A3E6 U+FF46
ｇ 2367 A3E7 U+FF47
ｈ 2368 A3E8 U+FF48
ｉ 2369 A3E9 U+FF49
ｊ 236A A3EA U+FF4A
ｋ 236B A3EB U+FF4B
ｌ 236C A3EC U+FF4C
ｍ 236D A3ED U+FF4D
ｎ 236E A3EE U+FF4E
ｏ 236F A3EF U+FF4F
ｐ 2370 A3F0 U+FF50
ｑ 2371 A3F1 U+FF51
ｒ 2372 A3F2 U+FF52
ｓ 2373 A3F3 U+FF53
ｔ 2374 A3F4 U+FF54
ｕ 2375 A3F5 U+FF55
ｖ 2376 A3F6 U+FF56
ｗ 2377 A3F7 U+FF57
ｘ 2378 A3F8 U+FF58
ｙ 2379 A3F9 U+FF59
ｚ 237A A3FA U+FF5A
ぁ 2421 A4A1 U+3041
あ 2422 A4A2 U+3042
ぃ 2423 A4A3 U+3043
い 2424 A4A4 U+3044
ぅ 2425 A4A5 U+3045
う 2426 A4A6 U+3046
ぇ 2427 A4A7 U+3047
え 2428 A4A8 U+3048
ぉ 2429 A4A9 U+3049
お 242A A4AA U+304A
か 242B A4AB U+304B
が 242C A4AC U+304C
き 242D A4AD U+304D
ぎ 242E A4AE U+304E
く 242F A4AF U+304F
ぐ 2430 A4B0 U+3050
け 2431 A4B1 U+3051
げ 2432 A4B2 U+3052
こ 2433 A4B3 U+3053
ご 2434 A4B4 U+3054
さ 2435 A4B5 U+3055
ざ 2436 A4B6 U+3056
し 2437 A4B7 U+3057
じ 2438 A4B8 U+3058
す 2439 A4B9 U+3059
ず 243A A4BA U+305A
せ 243B A4BB U+305B
ぜ 243C A4BC U+305C
そ 243D A4BD U+305D
ぞ 243E A4BE U+305E
た 243F A4BF U+305F
だ 2440 A4C0 U+3060
ち 2441 A4C1 U+3061
ぢ 2442 A4C2 U+3062
っ 2443 A4C3 U+3063
つ 2444 A4C4 U+3064
づ 2445 A4C5 U+3065
て 2446 A4C6 U+3066
で 2447 A4C7 U+3067
と 2448 A4C8 U+3068
ど 2449 A4C9 U+3069
な 244A A4CA U+306A
に 244B A4CB U+306B
ぬ 244C A4CC U+306C
ね 244D A4CD U+306D
の 244E A4CE U+306E
は 244F A4CF U+306F
ば 2450 A4D0 U+3070
ぱ 2451 A4D1 U+3071
ひ 2452 A4D2 U+3072
び 2453 A4D3 U+3073
ぴ 2454 A4D4 U+3074
ふ 2455 A4D5 U+3075
ぶ 2456 A4D6 U+3076
ぷ 2457 A4D7 U+3077
へ 2458 A4D8 U+3078
べ 2459 A4D9 U+3079
ぺ 245A A4DA U+307A
ほ 245B A4DB U+307B
ぼ 245C A4DC U+307C
ぽ 245D A4DD U+307D
ま 245E A4DE U+307E
み 245F A4DF U+307F
む 2460 A4E0 U+3080
め 2461 A4E1 U+3081
も 2462 A4E2 U+3082
ゃ 2463 A4E3 U+3083
や 2464 A4E4 U+3084
ゅ 2465 A4E5 U+3085
ゆ 2466 A4E6 U+3086
ょ 2467 A4E7 U+3087
よ 2468 A4E8 U+3088
ら 2469 A4E9 U+3089
り 246A A4EA U+308A
る 246B A4EB U+308B
れ 246C A4EC U+308C
ろ 246D A4ED U+308D
ゎ 246E A4EE U+308E
わ 246F A4EF U+308F
ゐ 2470 A4F0 U+3090
ゑ 2471 A4F1 U+3091
を 2472 A4F2 U+3092
ん 2473 A4F3 U+3093
ァ 2521 A5A1 U+30A1
ア 2522 A5A2 U+30A2
ィ 2523 A5A3 U+30A3
イ 2524 A5A4 U+30A4
ゥ 2525 A5A5 U+30A5
ウ 2526 A5A6 U+30A6
ェ 2527 A5A7 U+30A7
エ 2528 A5A8 U+30A8
ォ 2529 A5A9 U+30A9
オ 252A A5AA U+30AA
カ 252B A5AB U+30AB
ガ 252C A5AC U+30AC
キ 252D A5AD U+30AD
ギ 252E A5AE U+30AE
ク 252F A5AF U+30AF
グ 2530 A5B0 U+30B0
ケ 2531 A5B1 U+30B1
ゲ 2532 A5B2 U+30B2
コ 2533 A5B3 U+30B3
ゴ 2534 A5B4 U+30B4
サ 2535 A5B5 U+30B5
ザ 2536 A5B6 U+30B6
シ 2537 A5B7 U+30B7
ジ 2538 A5B8 U+30B8
ス 2539 A5B9 U+30B9
ズ 253A A5BA U+30BA
セ 253B A5BB U+30BB
ゼ 253C A5BC U+30BC
ソ 253D A5BD U+30BD
ゾ 253E A5BE U+30BE
タ 253F A5BF U+30BF
ダ 2540 A5C0 U+30C0
チ 2541 A5C1 U+30C1
ヂ 2542 A5C2 U+30C2
ッ 2543 A5C3 U+30C3
ツ 2544 A5C4 U+30C4
ヅ 2545 A5C5 U+30C5
テ 2546 A5C6 U+30C6
デ 2547 A5C7 U+30C7
ト 2548 A5C8 U+30C8
ド 2549 A5C9 U+30C9
ナ 254A A5CA U+30CA
ニ 254B A5CB U+30CB
ヌ 254C A5CC U+30CC
ネ 254D A5CD U+30CD
ノ 254E A5CE U+30CE
ハ 254F A5CF U+30CF
バ 2550 A5D0 U+30D0
パ 2551 A5D1 U+30D1
ヒ 2552 A5D2 U+30D2
ビ 2553 A5D3 U+30D3
ピ 2554 A5D4 U+30D4
フ 2555 A5D5 U+30D5
ブ 2556 A5D6 U+30D6
プ 2557 A5D7 U+30D7
ヘ 2558 A5D8 U+30D8
ベ 2559 A5D9 U+30D9
ペ 255A A5DA U+30DA
ホ 255B A5DB U+30DB
ボ 255C A5DC U+30DC
ポ 255D A5DD U+30DD
マ 255E A5DE U+30DE
ミ 255F A5DF U+30DF
ム 2560 A5E0 U+30E0
メ 2561 A5E1 U+30E1
モ 2562 A5E2 U+30E2
ャ 2563 A5E3 U+30E3
ヤ 2564 A5E4 U+30E4
ュ 2565 A5E5 U+30E5
ユ 2566 A5E6 U+30E6
ョ 2567 A5E7 U+30E7
ヨ 2568 A5E8 U+30E8
ラ 2569 A5E9 U+30E9
リ 256A A5EA U+30EA
ル 256B A5EB U+30EB
レ 256C A5EC U+30EC
ロ 256D A5ED U+30ED
ヮ 256E A5EE U+30EE
ワ 256F A5EF U+30EF
ヰ 2570 A5F0 U+30F0
ヱ 2571 A5F1 U+30F1
ヲ 2572 A5F2 U+30F2
ン 2573 A5F3 U+30F3
ヴ 2574 A5F4 U+30F4
ヵ 2575 A5F5 U+30F5
ヶ 2576 A5F6 U+30F6
Α 2621 A6A1 U+0391
Β 2622 A6A2 U+0392
Γ 2623 A6A3 U+0393
Δ 2624 A6A4 U+0394
Ε 2625 A6A5 U+0395
Ζ 2626 A6A6 U+0396
Η 2627 A6A7 U+0397
Θ 2628 A6A8 U+0398
Ι 2629 A6A9 U+0399
Κ 262A A6AA U+039A
Λ 262B A6AB U+039B
Μ 262C A6AC U+039C
Ν 262D A6AD U+039D
Ξ 262E A6AE U+039E
Ο 262F A6AF U+039F
Π 2630 A6B0 U+03A0
Ρ 2631 A6B1 U+03A1
Σ 2632 A6B2 U+03A3
Τ 2633 A6B3 U+03A4
Υ 2634 A6B4 U+03A5
Φ 2635 A6B5 U+03A6
Χ 2636 A6B6 U+03A7
Ψ 2637 A6B7 U+03A8
Ω 2638 A6B8 U+03A9
α 2641 A6C1 U+03B1
β 2642 A6C2 U+03B2
γ 2643 A6C3 U+03B3
δ 2644 A6C4 U+03B4
ε 2645 A6C5 U+03B5
ζ 2646 A6C6 U+03B6
η 2647 A6C7 U+03B7
θ 2648 A6C8 U+03B8
ι 2649 A6C9 U+03B9
κ 264A A6CA U+03BA
λ 264B A6CB U+03BB
μ 264C A6CC U+03BC
ν 264D A6CD U+03BD
ξ 264E A6CE U+03BE
ο 264F A6CF U+03BF
π 2650 A6D0 U+03C0
ρ 2651 A6D1 U+03C1
σ 2652 A6D2 U+03C3
τ 2653 A6D3 U+03C4
υ 2654 A6D4 U+03C5
