圧 3035 B0B5 U+5727
以 304A B0CA U+4EE5
易 3057 B0D7 U+6613
移 305C B0DC U+79FB
一 306C B0EC U+4E00
映 3147 B1C7 U+6620
応 317E B1FE U+5FDC
押 3221 B2A1 U+62BC
温 3239 B2B9 U+6E29
加 3243 B2C3 U+52A0
可 3244 B2C4 U+53EF
画 3268 B2E8 U+753B
解 3272 B2F2 U+89E3
回 3273 B2F3 U+56DE
改 327E B2FE U+6539
開 332B B3AB U+958B
楽 335A B3DA U+697D
完 3430 B4B0 U+5B8C
換 3439 B4B9 U+63DB
環 3444 B4C4 U+74B0
簡 344A B4CA U+7C21
間 3456 B4D6 U+9593
既 347B B4FB U+65E2
機 3521 B5A1 U+6A5F
起 352F B5AF U+8D77
義 3541 B5C1 U+7FA9
去 356E B5EE U+53BB
共 3626 B6A6 U+5171
境 362D B6AD U+5883
九 3665 B6E5 U+4E5D
具 3671 B6F1 U+5177
空 3675 B6F5 U+7A7A
形 3741 B7C1 U+5F62
景 374A B7CA U+666F
桁 3765 B7E5 U+6841
決 3768 B7E8 U+6C7A
件 376F B7EF U+4EF6
検 3821 B8A1 U+691C
見 382B B8AB U+898B
元 3835 B8B5 U+5143
源 383B B8BB U+6E90
現 383D B8BD U+73FE
固 3847 B8C7 U+56FA
五 385E B8DE U+4E94
後 3865 B8E5 U+5F8C
御 3866 B8E6 U+5FA1
功 3879 B8F9 U+529F
更 3939 B9B9 U+66F4
行 3954 B9D4 U+884C
号 3966 B9E6 U+53F7
合 3967 B9E7 U+5408
黒 3975 B9F5 U+9ED2
込 397E B9FE U+8FBC
左 3A38 BAB8 U+5DE6
再 3A46 BAC6 U+518D
最 3A47 BAC7 U+6700
三 3B30 BBB0 U+4E09
使 3B48 BBC8 U+4F7F
四 3B4D BBCD U+56DB
始 3B4F BBCF U+59CB
子 3B52 BBD2 U+5B50
指 3B58 BBD8 U+6307
字 3B7A BBFA U+5B57
時 3B7E BBFE U+6642
次 3C21 BCA1 U+6B21
示 3C28 BCA8 U+793A
式 3C30 BCB0 U+5F0F
識 3C31 BCB1 U+8B58
七 3C37 BCB7 U+4E03
失 3C3A BCBA U+5931
湿 3C3E BCBE U+6E7F
質 3C41 BCC1 U+8CEA
釈 3C61 BCE1 U+91C8
受 3C75 BCF5 U+53D7
終 3D2A BDAA U+7D42
出 3D50 BDD0 U+51FA
準 3D60 BDE0 U+6E96
順 3D67 BDE7 U+9806
処 3D68 BDE8 U+51E6
書 3D71 BDF1 U+66F8
消 3E43 BEC3 U+6D88
照 3E48 BEC8 U+7167
上 3E65 BEE5 U+4E0A
場 3E6C BEEC U+5834
常 3E6F BEEF U+5E38
情 3E70 BEF0 U+60C5
条 3E72 BEF2 U+6761
状 3E75 BEF5 U+72B6
色 3F27 BFA7 U+8272
信 3F2E BFAE U+4FE1
親 3F46 BFC6 U+89AA
進 3F4A BFCA U+9032
数 3F74 BFF4 U+6570
制 4029 C0A9 U+5236
成 402E C0AE U+6210
赤 4056 C0D6 U+8D64
切 405A C0DA U+5207
接 405C C0DC U+63A5
折 405E C0DE U+6298
設 405F C0DF U+8A2D
線 407E C0FE U+7DDA
選 412A C1AA U+9078
遷 412B C1AB U+9077
前 4130 C1B0 U+524D
素 4147 C1C7 U+7D20
早 4161 C1E1 U+65E9
送 4177 C1F7 U+9001
速 422E C2AE U+901F
続 4233 C2B3 U+7D9A
対 4250 C2D0 U+5BFE
態 4256 C2D6 U+614B
択 4272 C2F2 U+629E
単 4331 C3B1 U+5358
旦 4336 C3B6 U+65E6
値 434D C3CD U+5024
置 4356 C3D6 U+7F6E
中 4366 C3E6 U+4E2D
調 4434 C4B4 U+8ABF
長 4439 C4B9 U+9577
直 443E C4BE U+76F4
通 444C C4CC U+901A
定 446A C4EA U+5B9A
適 452C C5AC U+9069
点 4540 C5C0 U+70B9
電 4545 C5C5 U+96FB
度 4559 C5D9 U+5EA6
投 456A C5EA U+6295
灯 4574 C5F4 U+706F
動 4630 C6B0 U+52D5
同 4631 C6B1 U+540C
特 4643 C6C3 U+7279
読 4649 C6C9 U+8AAD
内 4662 C6E2 U+5185
二 4673 C6F3 U+4E8C
入 467E C6FE U+5165
認 4727 C7A7 U+8A8D
波 4748 C7C8 U+6CE2
敗 4754 C7D4 U+6557
背 4758 C7D8 U+80CC
白 4772 C7F2 U+767D
八 482C C8AC U+516B
半 483E C8BE U+534A
反 483F C8BF U+53CD
番 4856 C8D6 U+756A
飛 4874 C8F4 U+98DB
必 492C C9AC U+5FC5
標 4938 C9B8 U+6A19
表 493D C9BD U+8868
描 4941 C9C1 U+63CF
品 494A C9CA U+54C1
不 4954 C9D4 U+4E0D
風 4977 C9F7 U+98A8
複 4A23 CAA3 U+8907
物 4A2A CAAA U+7269
分 4A2C CAAC U+5206
文 4A38 CAB8 U+6587
並 4A42 CAC2 U+4E26
閉 4A44 CAC4 U+9589
頁 4A47 CAC7 U+9801
変 4A51 CAD1 U+5909
返 4A56 CAD6 U+8FD4
報 4A73 CAF3 U+5831
崩 4A78 CAF8 U+5D29
方 4A7D CAFD U+65B9
法 4B21 CBA1 U+6CD5
未 4C24 CCA4 U+672A
無 4C35 CCB5 U+7121
面 4C4C CCCC U+9762
戻 4C61 CCE1 U+623B
用 4D51 CDD1 U+7528
要 4D57 CDD7 U+8981
理 4D7D CDFD U+7406
了 4E3B CEBB U+4E86
力 4E4F CECF U+529B
例 4E63 CEE3 U+4F8B
列 4E73 CEF3 U+5217
六 4F3B CFBB U+516D
論 4F40 CFC0 U+8AD6
