亜 3021 B0A1 U+4E9C
哀 3025 B0A5 U+54C0
愛 3026 B0A6 U+611B
挨 3027 B0A7 U+6328
悪 302D B0AD U+60AA
握 302E B0AE U+63E1
圧 3035 B0B5 U+5727
扱 3037 B0B7 U+6271
宛 3038 B0B8 U+5B9B
安 3042 B0C2 U+5B89
暗 3045 B0C5 U+6697
案 3046 B0C6 U+6848
闇 3047 B0C7 U+95C7
以 304A B0CA U+4EE5
位 304C B0CC U+4F4D
依 304D B0CD U+4F9D
偉 304E B0CE U+5049
囲 304F B0CF U+56F2
委 3051 B0D1 U+59D4
威 3052 B0D2 U+5A01
尉 3053 B0D3 U+5C09
意 3055 B0D5 U+610F
慰 3056 B0D6 U+6170
易 3057 B0D7 U+6613
椅 3058 B0D8 U+6905
為 3059 B0D9 U+70BA
畏 305A B0DA U+754F
異 305B B0DB U+7570
移 305C B0DC U+79FB
維 305D B0DD U+7DAD
緯 305E B0DE U+7DEF
胃 305F B0DF U+80C3
萎 3060 B0E0 U+840E
衣 3061 B0E1 U+8863
違 3063 B0E3 U+9055
遺 3064 B0E4 U+907A
医 3065 B0E5 U+533B
井 3066 B0E6 U+4E95
域 3068 B0E8 U+57DF
育 3069 B0E9 U+80B2
一 306C B0EC U+4E00
壱 306D B0ED U+58F1
逸 306F B0EF U+9038
稲 3070 B0F0 U+7A32
茨 3071 B0F1 U+8328
芋 3072 B0F2 U+828B
印 3075 B0F5 U+5370
咽 3076 B0F6 U+54BD
員 3077 B0F7 U+54E1
因 3078 B0F8 U+56E0
姻 3079 B0F9 U+59FB
引 307A B0FA U+5F15
飲 307B B0FB U+98F2
淫 307C B0FC U+6DEB
院 3121 B1A1 U+9662
陰 3122 B1A2 U+9670
隠 3123 B1A3 U+96A0
韻 3124 B1A4 U+97FB
右 3126 B1A6 U+53F3
宇 3127 B1A7 U+5B87
羽 3129 B1A9 U+7FBD
雨 312B B1AB U+96E8
臼 3131 B1B1 U+81FC
渦 3132 B1B2 U+6E26
唄 3134 B1B4 U+5504
浦 313A B1BA U+6D66
運 313F B1BF U+904B
雲 3140 B1C0 U+96F2
餌 3142 B1C2 U+990C
営 3144 B1C4 U+55B6
影 3146 B1C6 U+5F71
映 3147 B1C7 U+6620
栄 3149 B1C9 U+6804
永 314A B1CA U+6C38
泳 314B B1CB U+6CF3
英 3151 B1D1 U+82F1
衛 3152 B1D2 U+885B
詠 3153 B1D3 U+8A60
